Year,Month,Day,Title,Lable,Importance,Desc,Detail,Era
330,,,君士坦丁堡建立,君士坦丁堡,0,君士坦丁迁都拜占庭，建立君士坦丁堡,君士坦丁大帝迁都拜占庭，改名为君士坦丁堡，成为东罗马帝国首都，延续千年。,古代文明
476,,,西罗马帝国灭亡,西罗马灭亡,0,西罗马帝国灭亡，欧洲进入中世纪,日耳曼雇佣兵首领奥多亚克废黜最后一位西罗马皇帝罗慕路斯，西罗马帝国灭亡。,中世纪
481,,,法兰克王国建立,法兰克王国,0,克洛维建立法兰克王国，皈依基督教,克洛维统一法兰克各部，建立墨洛温王朝，皈依天主教，奠定西欧封建国家基础。,中世纪
527,,,查士丁尼继位,查士丁尼继位,0,查士丁尼成为东罗马皇帝，编纂罗马法典,查士丁尼一世继位，编纂《查士丁尼法典》，收复意大利和北非，重建罗马帝国疆域。,中世纪
622,,,伊斯兰教创立,伊斯兰教创立,0,穆罕默德迁徙麦地那，伊斯兰教历开始,穆罕默德从麦加迁徙麦地那（希吉拉），伊斯兰教历元年，伊斯兰教在阿拉伯半岛迅速传播。,中世纪
750,,,阿拔斯王朝建立,阿拔斯王朝,0,阿拔斯王朝建立，阿拉伯帝国黄金时代,阿拔斯推翻倭马亚王朝，建立新王朝，定都巴格达，阿拉伯帝国进入科学文化黄金时代。,中世纪
800,,,查理曼加冕,查理曼加冕,0,查理曼加冕为罗马皇帝，法兰克帝国鼎盛,"教皇利奥三世为查理曼加冕为""罗马人的皇帝""，西欧统一，加洛林文艺复兴开始。",中世纪
843,,,凡尔登条约,凡尔登条约,0,凡尔登条约签订，查理曼帝国三分,查理曼三个孙子签订凡尔登条约，帝国分为西法兰克、中法兰克、东法兰克，奠定德法意雏形。,中世纪
960,,,神圣罗马帝国建立,神圣罗马帝国,0,奥托一世加冕，神圣罗马帝国开始,德意志国王奥托一世被教皇约翰十二世加冕为罗马皇帝，神圣罗马帝国开始，持续至1806年。,中世纪
1054,,,东西教会大分裂,东西教会分裂,0,基督教正式分裂为天主教和东正教,罗马教皇与君士坦丁堡普世牧首互相绝罚，基督教正式分裂为西方天主教和东方东正教。,中世纪
1066,,,诺曼征服英格兰,诺曼征服,0,诺曼底公爵威廉征服英格兰,诺曼底公爵威廉在黑斯廷斯战役中击败哈罗德，成为英格兰国王，英格兰封建化开始。,中世纪
1096,,,十字军东征开始,十字军东征,3,第一次十字军东征开始，持续近两百年,教皇乌尔班二世号召收复耶路撒冷，第一次十字军东征开始，持续近两百年，共八次主要东征。,中世纪
1206,,,成吉思汗统一蒙古,成吉思汗统一,0,成吉思汗统一蒙古各部，蒙古帝国开始,铁木真统一蒙古各部，被推举为大汗，称成吉思汗，开始大规模对外扩张，建立世界最大帝国。,中世纪
1215,,,大宪章签署,大宪章签署,0,英王约翰签署大宪章，限制王权,英格兰国王约翰在贵族压力下签署《大宪章》，确立王在法下原则，成为宪政主义源头。,中世纪
1347,,,黑死病爆发,黑死病爆发,0,黑死病席卷欧洲，造成数千万人死亡,鼠疫从克里米亚传入欧洲，在四年内造成约三分之一欧洲人口死亡，深刻改变欧洲社会。,中世纪
1453,,,君士坦丁堡陷落,君士坦丁堡陷落,5,奥斯曼攻陷君士坦丁堡，东罗马灭亡,奥斯曼土耳其攻陷君士坦丁堡，东罗马帝国灭亡，千年帝国终结，文艺复兴加速。,中世纪
1453,,,英法百年战争结束,百年战争结束,0,英法百年战争结束，法国统一,英法百年战争结束，英国失去大陆领土，法兰西民族国家形成，火炮改变战争方式。,中世纪
1492,,,哥伦布发现新大陆,哥伦布发现美洲,5,哥伦布抵达美洲，开启大航海时代,哥伦布率领船队抵达美洲，开启欧洲大航海时代和地理大发现，世界联系日益紧密。,近代早期
1498,,,达·伽马抵达印度,达·伽马到印度,0,达·伽马开辟欧亚海上航线,葡萄牙航海家达·伽马绕过好望角抵达印度，开辟欧洲到亚洲的海上航线，开启欧洲殖民时代。,近代早期
1517,,,宗教改革开始,宗教改革,0,马丁·路德发表九十五条论纲,马丁·路德在维滕贝格教堂张贴九十五条论纲，挑战罗马教廷权威，欧洲宗教改革运动开始。,近代早期
1519,,,麦哲伦环球航行,麦哲伦环球,0,麦哲伦船队开始环球航行,麦哲伦率领船队从西班牙出发，寻找西行到亚洲的航线，虽麦哲伦死于菲律宾，但船队完成首次环球航行。,近代早期
1648,,,威斯特伐利亚和约,威斯特伐利亚,0,三十年战争结束，现代国际关系体系确立,三十年战争结束，签订威斯特伐利亚和约，确立国家主权平等原则，现代国际体系开端。,近代早期
1688,,,光荣革命,光荣革命,0,英国光荣革命，确立议会主权,英国爆发光荣革命，詹姆士二世被废，威廉和玛丽继位，确立议会高于王权，君主立宪制形成。,近代早期
1776,,,美国独立宣言,美国独立,5,美国发表独立宣言，脱离英国独立,北美十三州发表独立宣言，美利坚合众国诞生，启蒙思想首次在大国实践，影响世界历史进程。,近代
1789,,,法国大革命爆发,法国大革命,5,巴士底狱被攻占，法国大革命开始,巴黎民众攻占巴士底狱，法国大革命爆发，发表人权宣言，推翻封建专制，传播自由平等思想。,近代
1804,,,拿破仑称帝,拿破仑称帝,0,拿破仑加冕为法兰西皇帝,拿破仑加冕为法兰西皇帝，建立法兰西第一帝国，颁布拿破仑法典，对外进行大规模军事扩张。,近代
1815,,,滑铁卢战役,滑铁卢战役,0,拿破仑兵败滑铁卢，帝国终结,拿破仑在滑铁卢战役中惨败，被流放圣赫勒拿岛，法兰西第一帝国灭亡，维也纳体系建立。,近代
1848,,,欧洲革命浪潮,1848年革命,0,欧洲多国爆发革命，民族主义高涨,法国、德意志、意大利等多国爆发革命，要求宪政改革和民族统一，虽多失败但推动欧洲变革。,近代
1861,,,美国内战爆发,美国内战,1,美国南北战争爆发，维护国家统一,南方各州脱离联邦，美国内战爆发，林肯领导北方获胜，废除奴隶制，美国现代化加速。,近代
1868,,,明治维新开始,明治维新,0,日本明治维新开始，走向现代化,日本推翻幕府统治，明治天皇亲政，实行一系列现代化改革，日本迅速崛起为亚洲强国。,近代
1871,,,德意志帝国建立,德意志统一,0,德意志帝国建立，德国统一完成,普鲁士国王威廉一世在凡尔赛宫加冕为德意志皇帝，德意志统一完成，欧洲力量格局巨变。,近代
1914,,,一战爆发,一战爆发,7,一战全面爆发，人类首次世界大战,奥匈帝国向塞尔维亚宣战，第一次世界大战全面爆发，造成约1700万人死亡，四大帝国崩溃。,20世纪
1917,,,十月革命,十月革命,0,俄国十月革命，首个社会主义国家,列宁领导布尔什维克夺取政权，建立世界上第一个社会主义国家，对世界历史产生深远影响。,20世纪
1918,,,一战结束,一战结束,3,德国投降，第一次世界大战结束,德国签署停战协定，一战结束，凡尔赛体系建立，为二战埋下隐患。,20世纪
1929,,,经济大萧条,经济大萧条,0,华尔街股灾，全球经济大萧条开始,美国华尔街股市崩盘，引发全球经济大萧条，失业率飙升，法西斯主义趁机兴起。,20世纪
1939,,,二战爆发,二战爆发,7,德国入侵波兰，第二次世界大战爆发,德国入侵波兰，英法对德宣战，二战全面爆发，是人类历史上规模最大的战争。,20世纪
1941,,,珍珠港事件,珍珠港事件,0,日本偷袭珍珠港，美国参战,日本偷袭美国珍珠港，太平洋战争爆发，美国对日德意宣战，二战达到真正全球性规模。,20世纪
1945,,,二战欧洲胜利,二战欧战胜利,0,德国投降，二战欧洲战场结束,德国无条件投降，二战欧洲战场结束，纳粹德国覆灭，希特勒自杀身亡。,20世纪
1945,,,二战结束,二战结束,7,日本投降，第二次世界大战结束,日本宣布无条件投降，二战结束，造成约7000万人死亡，联合国成立，冷战格局形成。,20世纪
1947,,,冷战开始,冷战开始,0,杜鲁门主义出台，美苏冷战开始,美国提出杜鲁门主义，遏制共产主义，标志着美苏冷战正式开始，世界分为两大阵营。,20世纪
1962,,,古巴导弹危机,古巴导弹危机,0,美苏古巴对峙，核战争一触即发,美苏因古巴导弹陷入严重对峙，核战争一触即发，最终苏联撤除导弹，是冷战最接近核战争的危机。,20世纪
1989,,,柏林墙倒塌,柏林墙倒塌,0,柏林墙倒塌，冷战结束象征,东德开放柏林墙，民众自由穿越，成为冷战结束的象征，德国统一进程开始。,20世纪
1991,,,苏联解体,苏联解体,7,苏联解体，冷战结束，两极终结,苏联正式解体，冷战结束，美苏两极格局终结，世界进入多极化时代。,20世纪
2001,,,911事件,911事件,0,美国遭恐怖袭击，反恐战争开始,恐怖分子劫持飞机撞击世贸中心和五角大楼，近3000人死亡，美国发动全球反恐战争。,21世纪
